year,imdb,title,clean_test,binary,budget,domgross,intgross,year,década
2013,tt1711425,21 &amp; Over,1,FAIL,13000000,25682380.0,42195766.0,2013,2010s
2012,tt1343727,Dredd 3D,3,PASS,45000000,13414714.0,40868994.0,2012,2010s
2013,tt2024544,12 Years a Slave,1,FAIL,20000000,53107035.0,158607035.0,2013,2010s
2013,tt1272878,2 Guns,1,FAIL,61000000,75612460.0,132493015.0,2013,2010s
2013,tt0453562,42,2,FAIL,40000000,95020213.0,95020213.0,2013,2010s
2013,tt1335975,47 Ronin,2,FAIL,225000000,38362475.0,145803842.0,2013,2010s
2013,tt1606378,A Good Day to Die Hard,1,FAIL,92000000,67349198.0,304249198.0,2013,2010s
2013,tt2194499,About Time,3,PASS,12000000,15323921.0,87324746.0,2013,2010s
2013,tt1814621,Admission,3,PASS,13000000,18007317.0,18007317.0,2013,2010s
2013,tt1815862,After Earth,1,FAIL,130000000,60522097.0,244373198.0,2013,2010s
2013,tt1800241,American Hustle,3,PASS,40000000,148430908.0,249484909.0,2013,2010s
2013,tt1322269,August: Osage County,3,PASS,25000000,37304874.0,50304874.0,2013,2010s
2013,tt1559547,Beautiful Creatures,3,PASS,50000000,19452138.0,55940671.0,2013,2010s
2013,tt2334873,Blue Jasmine,3,PASS,18000000,33345833.0,68447831.0,2013,2010s
2013,tt1535109,Captain Phillips,1,FAIL,55000000,107136417.0,218743570.0,2013,2010s
2013,tt1939659,Carrie,3,PASS,30000000,35266619.0,85001659.0,2013,2010s
2013,tt1985966,Cloudy with a Chance of Meatballs 2,0,FAIL,78000000,119640264.0,271725448.0,2013,2010s
2013,tt1690953,Despicable Me 2,3,PASS,76000000,368065385.0,970766005.0,2013,2010s
2013,tt2229499,Don Jon,dubious,FAIL,5500000,24477704.0,26377704.0,2013,2010s
2013,tt1535108,Elysium,3,PASS,120000000,93050117.0,286192091.0,2013,2010s
2013,tt1731141,Ender&#39;s Game,2,FAIL,110000000,61737191.0,89737191.0,2013,2010s
2013,tt0848537,Epic,3,PASS,100000000,107518682.0,268418682.0,2013,2010s
2013,tt0765446,Escape from Planet Earth,3,PASS,40000000,57012977.0,66454811.0,2013,2010s
2013,tt1211956,Escape Plan,2,FAIL,70000000,25213103.0,103813103.0,2013,2010s
2013,tt1288558,Evil Dead,3,PASS,17000000,54239856.0,97402049.0,2013,2010s
2013,tt1905041,Fast and Furious 6,3,PASS,160000000,238679850.0,788128122.0,2013,2010s
2013,tt2294629,Frozen,3,PASS,150000000,393050114.0,1004550114.0,2013,2010s
2013,tt1583421,G.I. Joe: Retaliation,3,PASS,140000000,122523060.0,371923060.0,2013,2010s
2013,tt1321870,Gangster Squad,1,FAIL,60000000,46000903.0,104100903.0,2013,2010s
2013,tt2425486,Gloria,3,PASS,30000000,4167493.0,4967493.0,2013,2010s
2013,tt1454468,Gravity,0,FAIL,110000000,271814796.0,708714796.0,2013,2010s
2013,tt2191701,Grown Ups 2,2,FAIL,80000000,133668525.0,247023808.0,2013,2010s
2013,tt1428538,Hansel &amp; Gretel: Witch Hunters,3,PASS,50000000,55703475.0,225703475.0,2013,2010s
2013,tt1798709,Her,2,FAIL,23000000,25000178.0,33029713.0,2013,2010s
2013,tt2024432,Identity Thief,2,FAIL,35000000,134506920.0,176269721.0,2013,2010s
2013,tt2226417,Insidious: Chapter 2,2,FAIL,5000000,83586447.0,161911222.0,2013,2010s
2013,tt1300854,Iron Man 3,dubious,FAIL,200000000,408992272.0,1212692272.0,2013,2010s
2013,tt1351685,Jack the Giant Slayer,0,FAIL,195000000,65187603.0,197387603.0,2013,2010s
2013,tt1650554,Kick-Ass 2,3,PASS,28000000,28795985.0,60839197.0,2013,2010s
2013,tt1204975,Last Vegas,1,FAIL,28000000,63914167.0,112914167.0,2013,2010s
2013,tt1327773,Lee Daniels' The Butler,3,PASS,30000000,116632095.0,151513429.0,2013,2010s
2013,tt2002718,Machete Kills,3,PASS,2000000,8008161.0,9408161.0,2013,2010s
2013,tt2023587,Mama,3,PASS,15000000,71628180.0,148041253.0,2013,2010s
2013,tt0770828,Man of Steel,3,PASS,225000000,291045518.0,687999518.0,2013,2010s
2013,tt1821549,Nebraska,3,PASS,12000000,17482517.0,17482517.0,2013,2010s
2013,tt1670345,Now You See Me,1,FAIL,75000000,117723989.0,351723989.0,2013,2010s
2013,tt1483013,Oblivion,2,FAIL,120000000,89107235.0,287537983.0,2013,2010s
2013,tt2302755,Olympus Has Fallen,1,FAIL,70000000,98927592.0,150562164.0,2013,2010s
2013,tt1623205,Oz the Great and Powerful,3,PASS,200000000,234770996.0,489570996.0,2013,2010s
2013,tt1663662,Pacific Rim,1,FAIL,190000000,101802906.0,411002906.0,2013,2010s
2013,tt1980209,Pain &amp; Gain,1,FAIL,26000000,49875291.0,81275291.0,2013,2010s
2013,tt1904996,Parker,3,PASS,35000000,17616641.0,46346651.0,2013,2010s
2013,tt1699755,Peeples,dubious,FAIL,15000000,9177065.0,9177065.0,2013,2010s
2013,tt1854564,Percy Jackson: Sea of Monsters,3,PASS,90000000,68559554.0,200859554.0,2013,2010s
2013,tt1392214,Prisoners,3,PASS,46000000,61002302.0,113402302.0,2013,2010s
2013,tt0790736,R.I.P.D.,1,FAIL,130000000,33618855.0,79019947.0,2013,2010s
2013,tt1821694,Red 2,3,PASS,84000000,53262560.0,137162560.0,2013,2010s
2013,tt1411250,Riddick,1,FAIL,38000000,42025135.0,92425135.0,2013,2010s
2013,tt2364841,Runner Runner,0,FAIL,30000000,19316646.0,62616646.0,2013,2010s
2013,tt1979320,Rush,1,FAIL,38000000,26947624.0,43047624.0,2013,2010s
2013,tt1702439,Safe Haven,3,PASS,28000000,71399120.0,93943623.0,2013,2010s
2013,tt2140373,Saving Mr. Banks,3,PASS,35000000,82834332.0,100734332.0,2013,2010s
2013,tt2053463,Side Effects,3,PASS,30000000,32172757.0,60288363.0,2013,2010s
2013,tt1408101,Star Trek Into Darkness,1,FAIL,190000000,228778661.0,466978661.0,2013,2010s
2013,tt1572315,Texas Chainsaw 3D,3,PASS,20000000,34341945.0,39093317.0,2013,2010s
2013,tt1931435,The Big Wedding,3,PASS,32500000,21819348.0,35770721.0,2013,2010s
2013,tt0816442,The Book Thief,3,PASS,19000000,21345525.0,62045525.0,2013,2010s
2013,tt1911644,The Call,3,PASS,13000000,51872378.0,58938768.0,2013,2010s
2013,tt1457767,The Conjuring,3,PASS,20000000,137400141.0,318000141.0,2013,2010s
2013,tt2193215,The Counselor,3,PASS,25000000,16973715.0,70373715.0,2013,2010s
2013,tt0481499,The Croods,2,FAIL,135000000,187168425.0,573068425.0,2013,2010s
2013,tt2404311,The Family,2,FAIL,30000000,36918811.0,51078541.0,2013,2010s
2013,tt1837703,The Fifth Estate,1,FAIL,26000000,3254172.0,6154172.0,2013,2010s
2013,tt2005374,The Frozen Ground,0,FAIL,19200000,,,2013,2010s
2013,tt1343092,The Great Gatsby,dubious,FAIL,190000000,144840419.0,351040419.0,2013,2010s
2013,tt1951261,The Hangover part 3,2,FAIL,103000000,112200072.0,362000072.0,2013,2010s
2013,tt2404463,The Heat,3,PASS,43000000,159581587.0,230781587.0,2013,2010s
2013,tt1170358,The Hobbit: The Desolation of Smaug,1,FAIL,250000000,257397516.0,937397516.0,2013,2010s
2013,tt1517260,The Host,dubious,FAIL,50000000,26623701.0,58188384.0,2013,2010s
2013,tt1951264,The Hunger Games: Catching Fire,3,PASS,130000000,424088260.0,857088260.0,2013,2010s
2013,tt0790628,The Incredible Burt Wonderstone,1,FAIL,32000000,22537881.0,24255957.0,2013,2010s
2013,tt2234155,The Internship,1,FAIL,58000000,44672764.0,93672764.0,2013,2010s
2013,tt2034139,The Last Exorcism Part II,3,PASS,4000000,15179303.0,18541236.0,2013,2010s
2013,tt1210819,The Lone Ranger,1,FAIL,275000000,89289910.0,259989910.0,2013,2010s
2013,tt1538403,The Mortal Instruments: City of Bones,3,PASS,60000000,31165421.0,75965567.0,2013,2010s
2013,tt2184339,The Purge,dubious,FAIL,3000000,64473115.0,91100541.0,2013,2010s
2013,tt2017020,The Smurfs 2,3,PASS,110000000,71017784.0,348545841.0,2013,2010s
2013,tt1758795,The To Do List,3,PASS,1500000,3491669.0,3491669.0,2013,2010s
2013,tt1727388,The Way Way Back,3,PASS,5000000,21502690.0,26161443.0,2013,2010s
2013,tt0993846,The Wolf of Wall Street,1,FAIL,100000000,115702857.0,365702857.0,2013,2010s
2013,tt1430132,The Wolverine,3,PASS,115000000,132556852.0,416456852.0,2013,2010s
2013,tt1213663,The World&#39;s End,2,FAIL,20000000,26004851.0,46578821.0,2013,2010s
2013,tt1245492,This Is the End,1,FAIL,32000000,101470202.0,126294264.0,2013,2010s
2013,tt1981115,Thor: The Dark World,dubious,FAIL,170000000,204674790.0,631674790.0,2013,2010s
2013,tt1924429,Trance,0,FAIL,16000000,2322593.0,22594052.0,2013,2010s
2013,tt1860353,Turbo,dubious,FAIL,135000000,83028130.0,283828130.0,2013,2010s
2013,tt1588173,Warm Bodies,2,FAIL,30000000,66380662.0,116643610.0,2013,2010s
2013,tt1723121,We&#39;re the Millers,3,PASS,37000000,150394119.0,270000119.0,2013,2010s
2013,tt2334879,White House Down,2,FAIL,150000000,73103784.0,205440387.0,2013,2010s
